Local time,Ask,Bid,AskVolume,BidVolume
22.01.2024 08:30:07.475 GMT-0600,192.47299999999998,192.437,0.012,0.012
22.01.2024 08:30:07.526 GMT-0600,192.47299999999998,192.42700000000002,0.012,0.012
22.01.2024 08:30:07.576 GMT-0600,192.47400000000002,192.43599999999998,0.012,0.012
22.01.2024 08:30:07.677 GMT-0600,192.46400000000003,192.416,0.012,0.012
22.01.2024 08:30:07.728 GMT-0600,192.46400000000003,192.426,0.012,0.012
22.01.2024 08:30:07.878 GMT-0600,192.484,192.43599999999998,0.012,0.012
22.01.2024 08:30:07.979 GMT-0600,192.483,192.447,0.012,0.012
22.01.2024 08:30:08.079 GMT-0600,192.44400000000002,192.396,0.012,0.012
22.01.2024 08:30:08.330 GMT-0600,192.463,192.39700000000002,0.012,0.012
22.01.2024 08:30:08.431 GMT-0600,192.44299999999998,192.39700000000002,0.012,0.012
22.01.2024 08:30:08.481 GMT-0600,192.463,192.39700000000002,0.012,0.012
22.01.2024 08:30:08.531 GMT-0600,192.44400000000002,192.396,0.012,0.012
22.01.2024 08:30:08.632 GMT-0600,192.463,192.39700000000002,0.012,0.012
22.01.2024 08:30:08.682 GMT-0600,192.454,192.396,0.012,0.012
22.01.2024 08:30:08.833 GMT-0600,192.44400000000002,192.396,0.012,0.012
22.01.2024 08:30:08.934 GMT-0600,192.43400000000003,192.396,0.012,0.012
22.01.2024 08:30:09.084 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:09.135 GMT-0600,192.403,192.377,0.012,0.012
22.01.2024 08:30:09.285 GMT-0600,192.38400000000001,192.346,0.012,0.012
22.01.2024 08:30:09.336 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:09.436 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:09.536 GMT-0600,192.43400000000003,192.36599999999999,0.012,0.012
22.01.2024 08:30:09.587 GMT-0600,192.453,192.407,0.012,0.012
22.01.2024 08:30:09.687 GMT-0600,192.46400000000003,192.40599999999998,0.012,0.012
22.01.2024 08:30:09.738 GMT-0600,192.454,192.416,0.012,0.012
22.01.2024 08:30:09.788 GMT-0600,192.47400000000002,192.426,0.012,0.012
22.01.2024 08:30:09.889 GMT-0600,192.484,192.43599999999998,0.012,0.012
22.01.2024 08:30:10.089 GMT-0600,192.47299999999998,192.437,0.012,0.012
22.01.2024 08:30:10.190 GMT-0600,192.453,192.42700000000002,0.012,0.012
